Artists,Songs
Glass Animals,Heat Waves
The Kid LAROI & Justin Bieber,Stay
Kodak Black,Super Gremlin
GAYLE,abcdefu
"Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast",We Don't Talk About Bruno
Justin Bieber,Ghost
Adele,Easy On Me
Imagine Dragons X JID,Enemy
Lil Nas X,Thats What I Want
Ed Sheeran,Bad Habits
Ed Sheeran,Shivers
Doja Cat,Woman
Elton John & Dua Lipa,Cold Heart (PNAU Remix)
Latto,Big Energy
Megan Thee Stallion & Dua Lipa,Sweetest Pie
Doja Cat,Need To Know
The Weeknd & Ariana Grande,Save Your Tears
Lil Durk,Ahhh Ha
Dua Lipa,Levitating
Gunna & Future Featuring Young Thug,Pushin P
Lil Nas X & Jack Harlow,Industry Baby
Cody Johnson,'Til You Can't
Post Malone & The Weeknd,One Right Now
Lil Durk Featuring Gunna,What Happened To Virgil
SZA,I Hate U
Lil Durk Featuring Future,Petty Too
Muni Long,Hrs And Hrs
Becky G X Karol G,MAMIII
Jessica Darrow,Surface Pressure
Lil Durk,No Interviews
Doja Cat & The Weeknd,You Right
Olivia Rodrigo,Good 4 U
Charlie Puth,Light Switch
Lil Durk,Golden Child
Jordan Davis Featuring Luke Bryan,Buy Dirt
Walker Hayes,Fancy Like
Kevin Gates Featuring Juicy J,Thinking With My Dick
Lauren Spencer-Smith,Fingers Crossed
Camila Cabello Featuring Ed Sheeran,Bam Bam
Russ Featuring Ktlyn,Handsomer
CKay,Love Nwantiti (Ah Ah Ah)
"Dierks Bentley, Breland & HARDY",Beers On Me
Lil Durk Featuring Morgan Wallen,Broadway Girls
Morgan Wallen,Sand In My Boots
Luke Combs,Doin' This
Nirvana,Something In The Way
Drake Featuring 21 Savage & Project Pat,Knife Talk
Lil Durk,Barbarian
Dove Cameron,Boyfriend
Parker McCollum,To Be Loved By You
Cole Swindell / Lainey Wilson,Never Say Never
Walker Hayes,AA
Lil Durk,Shootout @ My Crib
Em Beihold,Numb Little Bug
Lil Durk,Started From
Elle King & Miranda Lambert,Drunk (And I Don't Wanna Go Home)
"Stephanie Beatriz, Olga Merediz & Encanto Cast",The Family Madrigal
Lil Durk,Headtaps
Tate McRae,She's All I Wanna Be
Lil Durk,Smoking & Thinking
Sam Hunt,23
Thomas Rhett,Slow Down Summer
Fireboy DML & Ed Sheeran,Peru
Tiesto & Ava Max,The Motto
Lil Durk,Grow Up/Keep It On Speaker
Nicki Minaj X Lil Baby,Do We Have A Problem?
Diane Guerrero & Stephanie Beatriz,What Else Can I Do?
Jack Harlow,Nail Tech
Lil Durk,Blocklist
"Nardo Wick, Lil Baby & Future",Me Or Sum
Eric Church,Heart On Fire
Sebastian Yatra,Dos Oruguitas
Lil Durk Featuring Summer Walker,Difference Is
Maren Morris,Circles Around This Town
Tyga X Doja Cat,Freaky Deaky
Miranda Lambert,If I Was A Cowboy
Yung Bleu & Kehlani,Beautiful Lies
ERNEST Featuring Morgan Wallen,Flower Shops
The Weeknd,Sacrifice
Silk Sonic (Bruno Mars & Anderson .Paak),Smokin Out The Window
JNR CHOI & Sam Tompkins,To The Moon!
Gunna Featuring Drake,P Power
The Chainsmokers,High
Ari Lennox,Pressure
Lil Durk,Federal Nightmares
Gucci Mane Featuring Lil Durk,Rumors
Carly Pearce & Ashley McBryde,Never Wanted To Be That Girl
Kelsea Ballerini Featuring Kenny Chesney,Half Of My Hometown
The Walters,I Love You So
Gunna,Banking On Me
HARDY,Give Heaven Some Hell
Labrinth & Zendaya,I'm Tired
Imagine Dragons,Bones
Lil Shordie Scott,Rocking A Cardigan In Atlanta
Lil Durk,Pissed Me Off
Rod Wave,By Your Side
Stephanie Beatriz,Waiting On A Miracle
YoungBoy Never Broke Again,I Hate YoungBoy
"Fivio Foreign, Kanye West & Alicia Keys",City Of Gods
Saweetie Featuring H.E.R.,Closer
